"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "SVG", "comment", "blank", "total"
"c:\Users\User\Desktop\navigation-categories-page\src\App.css", "CSS", 0, 0, 33, 0, 0, 6, 39
"c:\Users\User\Desktop\navigation-categories-page\src\App.module.css", "CSS", 0, 0, 4, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\App.test.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 4, 12
"c:\Users\User\Desktop\navigation-categories-page\src\App.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 6, 30
"c:\Users\User\Desktop\navigation-categories-page\src\Navigation\MainNavigation.module.css", "CSS", 0, 0, 16, 0, 0, 1, 17
"c:\Users\User\Desktop\navigation-categories-page\src\Navigation\MainNavigation.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 6, 33
"c:\Users\User\Desktop\navigation-categories-page\src\Navigation\NavBar\NavItemIcon\INavItemIcon.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\Navigation\NavBar\NavItemIcon\NavItemIcon.module.css", "CSS", 0, 0, 6, 0, 0, 2, 8
"c:\Users\User\Desktop\navigation-categories-page\src\Navigation\NavBar\NavItemIcon\NavItemIcon.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 4, 15
"c:\Users\User\Desktop\navigation-categories-page\src\Navigation\NavBar\NavItem\INavItemProps.ts", "TypeScript", 10, 0, 0, 0, 0, 2, 12
"c:\Users\User\Desktop\navigation-categories-page\src\Navigation\NavBar\NavItem\NavItem.module.css", "CSS", 0, 0, 25, 0, 0, 3, 28
"c:\Users\User\Desktop\navigation-categories-page\src\Navigation\NavBar\NavItem\NavItem.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 9, 30
"c:\Users\User\Desktop\navigation-categories-page\src\Navigation\NavBar\SideNavigation\ISideNavigationProps.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\Navigation\NavBar\SideNavigation\SideNavigation.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 5, 18
"c:\Users\User\Desktop\navigation-categories-page\src\Routes\Routes.tsx", "TypeScript JSX", 0, 23, 0, 0, 2, 2, 27
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Actios\PageFromPages\IPageFromPagesProps.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Actios\PageFromPages\PageFromPages.module.css", "CSS", 0, 0, 14, 0, 0, 1, 15
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Actios\PageFromPages\PageFromPages.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 6, 20
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Actios\PageInput\IPageInputProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Actios\PageInput\PageInput.module.css", "CSS", 0, 0, 17, 0, 0, 3, 20
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Actios\PageInput\PageInput.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 5, 21
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Actios\ShowPageAmount\IShowPageAmountProps.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Actios\ShowPageAmount\ShowPageAmount.module.css", "CSS", 0, 0, 14, 0, 0, 1, 15
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Actios\ShowPageAmount\ShowPageAmount.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 6, 22
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Actios\TurnPage\ITurnPageProps.ts", "TypeScript", 9, 0, 0, 0, 0, 3, 12
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Actios\TurnPage\TurnPage.module.css", "CSS", 0, 0, 24, 0, 0, 1, 25
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Actios\TurnPage\TurnPage.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 5, 19
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Editor\DropWrap\DropWrap.module.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Editor\DropWrap\DropWrap.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 4, 19
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Editor\Editor.module.css", "CSS", 0, 0, 15, 0, 0, 2, 17
"c:\Users\User\Desktop\navigation-categories-page\src\TablePage\Editor\Editor.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 6, 55
